職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
JAVA人工智慧研發工程師,威盛電子股份有限公司,40000.0,3年以上,"1.	NLP聊天機器人系統開發、維護。
2.	Data Mining、網路爬蟲等程式開發。
3.	基於現有的Server框架開發各種具體應用。
4.	根據客戶需求完成程式編寫，測試，維護。
5.	Linux Server性能的調教。
6.	合作廠商API或Service對接。","1. 精通JAVA與J2EE程式開發。 2. 熟悉Eclipse 與SQL/DB programming (Mongo, MySQL) 。3. 熟悉Client-Server與Web-based系統架構以及http/web service。4. 可配合出差 (3個月內)", Linux Shell Windows 2003 Windows XP Windows 7 Windows Server 2008 Android iOS OOP UML C C# C++ Java JSP Perl Python Visual C++ Visual Studio Visual Studio .net JDBC MySQL PL/SQL Tomcat Apache SOAP HTML J2EE J2SE JavaScript Web Master/Developer XML XML Web services jQuery HTTP Socket ssh TCP/IP UDP Excel Outlook PowerPoint Word,IC設計相關業,3.0
人工智慧演算法工程師,知洋科技有限公司,35000.0,經歷不拘,"1. 進行人工智慧(AI)演算法的設計、分析及模擬。
2. 利用演算法，提供無人載具之海洋測量數據及操作控制。",未填寫, C C# Python Visual C# 軟體程式設計,電力機械器材製造修配業,0.0
人工智慧演算法工程師,宜睿科技有限公司,40000.0,經歷不拘,"1. 以人工智慧技術開發機器人應用
2. 需對機器人與人工智慧有強烈熱誠與興趣。 
3. 計算機，電子工程，自動化相關學歷，有機器學習或深度學習研究背景佳
4. 以Python/C/C++ 開發 Computer Vision, 語音識別, 自然語言處理, MLP, CNN, RNN, Reinforcement Learning 應用
5. 需要熟悉Keras, Tensorflow
6. 有自動控制背景者佳",NA,,其他機械製造修配業,0.0
AI人工智慧-專案經理,台泥企業團_臺泥資訊股份有限公司,40000.0,5年以上,"1.    建置大數據資料庫
2.    開發及佈署機器學習、深度學習模型
3.    機器學習、深度學習訓練結果分析與建議

**歡迎大數據(Data Mining、AI人工智慧) 領域人才加入**
","1. 五年以上AI之Deep Learning或Machine Learning開發經驗，對深度學習有經驗者尤佳2. 熟悉Python程式設計 3. 熟悉Deep Learning Framework，例如TensorFlow, Caffe2...等4. 具備團隊合作精神、良好溝通能力",,電腦及其週邊設備製造業,5.0
人工智慧(AI)工程師,世界先進積體電路股份有限公司,40000.0,經歷不拘,"開發人工智慧 (AI) 相關系統以應用於半導體製造相關領域，主要工作內容:
1. AI相關需求訪談、系統分析、設計與測試。
2.結構化或非結構化(影像、聲音,..等)資料之分析與處理。
3.研究新模型或演算法及現有模型之優化與調校。
4.設計解決方案以整合IoT感應器信號收集及部署模型於終端自動化主機(Edge Server)。","1.熟悉Python及相關開發架構(Tensor Flow, Caffe或Keras,…等) 2.熟悉Machine Learning(CNN, RNN,…)相關演算法之應用。3.熟悉SQL/NoSQL程式撰寫。4.具Hadoop大數據庫之分析應用經驗。5.具 Java 或Oracle DB 使用經驗者尤佳。",,半導體製造業,0.0
人工智慧演算法工程師(台中廠),友達光電股份有限公司,40000.0,經歷不拘,"1. 整合生產/製程/物聯網大數據、建模
2. 開發 AI、深度學習或軟體演算法模型
3. 生產品質監控、機構預測、影像識別等AI模型優化","1. 熟悉Linux系統, 具C/C++/Java/Python程式語言設計經驗 2. 熟悉Machine Learning以及Deep Learning framework, 具AI需求分析與應用開發經驗 3. 熟習並實作過深度學習(Deep Learning)算法如 CNN/RNN/LSTM等演算法4. 具資料處理與分析經驗者尤佳", Python,光學器材製造業,0.0
人工智慧演算法科學家 (AI Algorithm Scientist),DIGWISE_崛智科技有限公司,40000.0,經歷不拘,"1. Experimental design and data collection/preprocessing
2. Algorithm development, modeling and verification
3. Familiar with C/C++/Python programming and Linux development environment
4. Familiar with RISC-V hardware/software infrastructure is a plus

",未填寫,,電腦軟體服務業,0.0
資深遊戲人工智慧演算法工程師,天旭國際科技有限公司,40000.0,經歷不拘,負責棋牌類遊戲機器人或其它相關人工智慧演算法的研究、設計、實現及調優,1.	大學及以上電腦相關專業2.	對演算法研究極其熱愛，熱衷於提高演算法準確率及性能，對棋牌類遊戲智慧演算法設計感興趣3.	熟練掌握常用機器學習演算法（神經網路、邏輯回歸、決策樹、SVM、Boosting等），熟悉狀態空間搜索演算法及相關優化，有相關研究或工作經驗4.	至少能熟練使用Java、Python或C/C++中一種程式設計語言實現演算法5.	有很強的研究能力與學習意願，能夠閱讀相關領域英文論文6.	有棋牌類遊戲機器人開發經驗者優先7.	機器學習相關專業畢業生優先,,網際網路相關業,0.0
人工智慧系統開發工程師,宏曜美拓國際傳媒股份有限公司,40000.0,1年以上,"「宏曜美拓傳媒」 是與日本新創上巿公司 Metaps 合資設立的公司。 其致力於互聯網廣泛使用新技術誕生的精神外，我們還擁有著豐富的數位媒體廣告及社群經營經驗， 「宏曜美拓傳媒」持續努力開發大數據及人工智能的技術養成，掌握數位時代使用者脈絡與行為 。
我們正在尋找對＂人工智能技術＂有熱情的你!

如果你對人工智慧系統產業有興趣，若有部份符合相關條件, 誠摯歡迎投遞履歷！
職務工作內容如下：
1. 使用python語言開發人工智慧演算法相關領域- 文本分析. 機器學習. 影像處理. 輿情分析.類神經網路等。
2. 需有相關程式設計經驗及對人工智慧有高度興趣。
3. 具有數學與統計能力或相關背景。
4. 對於機器學習有深入的理解及研究者。
5. 積極. 學習能力強與認真負責任者。
6. 需有獨立工作能力且積極主動、樂觀、溝通、樂於助人及習慣團隊合作。
歡迎有熱情的你,加入「宏曜美拓傳媒」!! 
可先參考公司網址: https://metalumi.com/",未填寫, 軟體程式設計,廣告行銷公關業,1.0
NR020-資深人工智慧工程師,啟碁科技股份有限公司,40000.0,2年以上,"1.Senior AI/machine learning software engineer.
2.Design & implement AI model for smart factory, computer vision products, and smart communication products.","1.2+ year on AI machine learning related experience.2.Familiar with machine learning methodology, deep learning model design and training, and computer vision.3.Skilled with Python programming, C/C++ programming. Familiar with Tensorflow, Keras, PyTorth, or other Machine Learning Frameworks.4.Capability to learn new knowledge and adapt latest technology; good teamwork player with strong software integration experience.",,通訊機械器材相關業,2.0
AI人工智慧-高級工程師,台泥企業團_臺泥資訊股份有限公司,40000.0,5年以上,"1.    建置大數據資料庫
2.    開發及佈署深度學習模型
3.    深度學習訓練結果分析與建議

**歡迎大數據(Data Mining、AI人工智慧) 領域人才加入**
","1. 有AI之Deep Learning或Machine Learning開發經驗，對深度學習有經驗者尤佳2. 熟悉Python程式設計 3. 熟悉Deep Learning Framework，例如TensorFlow, Caffe2...等4. 具備團隊合作精神、良好溝通能力",,電腦及其週邊設備製造業,5.0
人工智慧軟體應用工程師,訊連科技股份有限公司,40000.0,經歷不拘,"我們在做這樣的事
1. 應用人工智慧開發多媒體影音軟體

我們在找這樣的人才
1. 資訊、電機、統計、應數等理工科系所畢業C/C++, Python, Java精通至少一種
2. 對人工智慧、機器學習充滿熱情
3. 熟windows programming尤佳",未填寫, C C++ Java Python 軟體程式設計,其它軟體及網路相關業,0.0
人工智慧機器人-韌體工程師/主管,康揚股份有限公司,40000.0,3年以上,"- 機器人運動控制模組開發/關節模組開發/嵌入式感測器技術開發與整合/韌體軟體編程，機電系統整合。
- 嵌入式系統開發及自動化設備韌體程式開發 
- 單元測試/整合測試及相關文件撰寫

產品應用： 
1. 智慧裝置與控制系統開發
2. 馬達控制器設計
3. IOT Device, 物聯網系統設計
4. 先進智慧輪椅控制系統
5. Robotics系統
6. 2D Wheel Navigation System",未填寫, C C++,醫療器材製造業,3.0
【AI人工智慧】資訊部 AI工程師,聖僑資訊事業股份有限公司,35000.0,經歷不拘,"• 對人工智慧有強烈熱誠與興趣，了解演算法，擁有統計分析、基礎機器學習、深度學習、音訊處理等技能。
• 熟悉Linux環境下的Python編程，Git Workflow、Docker經驗。 
• 使用AI開發相關經驗，如TensorFlow、GPU/CUDA運算環境建立。 
• 論文閱讀。 
• 有機器學習、語音辨識、深度學習研究背景尤佳。 
• 熟 Google Cloud Storage、MongoDB、C/C++ 尤佳。

聖僑公司官網：https://www.sjcorp.com.tw/
看見聖僑團隊：www.hdv.tw/d0073014a8e7564dce789de37e1d7a55
公司環境介紹：https://www.facebook.com/flipmarketingbrand/videos/1169301823184805/ 
上市櫃客戶行銷篇：https://www.youtube.com/watch?v=qcNk0f0Wuo8&feature=youtu.be
 
聖僑公司是一間國際市場整合行銷公司，服務對象為台灣、大陸各種產業製造商，我們運用人工智慧應用與雲端運算技術為廠商提供各項國際市場專案程式開發，運用在影片宣傳、網站規劃、APP製作與雲端頻道。
人工智能應用範例：1. https://youtu.be/GnRP8rhiafw
                                    2. https://www.youtube.com/watch?v=7lauSZcyZnE ",未填寫,,廣告行銷公關業,0.0
遊戲人工智慧演算法工程師,齊力科技有限公司,40000.0,2年以上,負責遊戲機器人或其它相關人工智慧演算法的研究、設計、實現及優化,1.	大學及以上電腦相關專業 2.	對演算法研究極其熱愛，熱衷於提高演算法準確率及性能，對遊戲智慧演算法設計感興趣 3.	熟練掌握常用機器學習演算法（神經網路、邏輯回歸、決策樹、SVM、Boosting等），熟悉狀態空間搜索演算法及相關優化，有相關研究或工作經驗 4.	至少能熟練使用Java、Python或C/C++中一種程式設計語言實現演算法 5.	有研究能力與學習意願，能夠閱讀相關領域英文論文,,電腦軟體服務業,2.0
人工智慧資訊系統業務人員,嘉衡科技有限公司,40000.0,5年以上,"人工智慧資訊系統解決方案規劃與銷售
開發潛在客戶、拓展市場、專注行業：
- 金融保險
- 智能製造&IOT
- 醫療製藥
提供客戶專屬解決方案、具備良好溝通能力及維繫穩定客戶關係
處理客戶的詢價與報價、追蹤訂單，提供售後服務與帳款回收相關事宜，處理客戶端之問題
5年以上於大型IT公司銷售資歷
專長於行業解決方案及軟體服務銷售 - Experienced in  industry solution & software selling
熟悉人工智慧及大數據相關領域 - Knowledge of AI and Big Data
個性積極樂觀，注重團隊合作，於專案中具領導能力 -	Good Personality,proactive and team work attitude,able to lead project and work along with team
具英文溝通能力",未填寫,,電子通訊/電腦週邊批發業,5.0
